DateTime,CycleCounter,MaxWeldForce,WeldAbsolute,TriggerDistance,WeldTime,WeldPeakPower,CycleTime,AnomalyScore
24-Nov-2021 11:14:36,208402,36,37985,37803,797,285,1975,6
24-Nov-2021 11:14:40,208403,36,37975,37819,802,288,1981,6
24-Nov-2021 11:14:44,208404,36,38020,37832,799,289,1979,6
24-Nov-2021 11:14:48,208405,36,37999,37817,805,287,1984,6
24-Nov-2021 11:14:52,208406,35,38035,37848,796,269,1980,6
24-Nov-2021 11:15:00,208407,37,38005,37820,794,289,1975,6
24-Nov-2021 11:15:04,208408,36,38040,37836,782,285,1963,6
24-Nov-2021 11:15:08,208409,36,38016,37840,811,280,1990,6
24-Nov-2021 11:15:12,208410,37,38052,37866,796,294,1982,6
24-Nov-2021 11:15:16,208411,37,38039,37844,789,282,1970,6
24-Nov-2021 11:15:20,208412,36,38016,37836,801,291,1982,6
24-Nov-2021 11:15:28,208413,36,37984,37811,796,296,1977,6
24-Nov-2021 11:15:32,208414,36,38009,37804,781,278,1960,6
24-Nov-2021 11:15:36,208415,36,38042,37838,782,287,1964,6
24-Nov-2021 11:15:40,208416,36,38052,37854,803,287,1984,6
24-Nov-2021 11:15:44,208417,36,38042,37860,798,293,1983,6
24-Nov-2021 11:15:48,208418,38,38061,37859,791,297,1977,6
24-Nov-2021 11:15:55,208419,36,38031,37835,788,291,1972,6
24-Nov-2021 11:15:59,208420,35,37988,37822,800,288,1980,6
24-Nov-2021 11:16:04,208421,36,38009,37809,795,291,1976,6
24-Nov-2021 11:16:08,208422,36,38019,37839,796,280,1979,6
24-Nov-2021 11:16:12,208423,37,38025,37834,795,277,1976,6
24-Nov-2021 11:16:16,208424,37,38023,37838,795,283,1975,6
24-Nov-2021 11:16:23,208425,36,38010,37825,797,287,1977,6
24-Nov-2021 11:16:27,208426,36,37985,37816,804,278,1985,6
24-Nov-2021 11:16:31,208427,35,38026,37836,810,271,1991,6
24-Nov-2021 11:16:36,208428,37,38056,37862,793,293,1975,6
24-Nov-2021 11:16:40,208429,37,38034,37848,791,283,1973,6
24-Nov-2021 11:16:46,208430,36,38015,37834,796,291,1979,6
24-Nov-2021 11:16:51,208431,36,37999,37811,793,294,1974,6
24-Nov-2021 11:16:57,208432,36,37983,37802,799,297,1977,6
24-Nov-2021 11:17:01,208433,36,38004,37829,809,285,1988,6
24-Nov-2021 11:17:05,208434,36,38050,37855,807,273,1990,6
24-Nov-2021 11:17:12,208435,37,38061,37853,792,288,1973,6
24-Nov-2021 11:17:19,208436,37,38031,37859,810,289,1995,6
24-Nov-2021 11:17:26,208437,37,38019,37837,799,297,1979,6
